"601932664627666944","RT @tuespetre: 'Debugging' Maven tests by throwing exceptions is no fun. Wish I could get jdb to hit breakpoints. cc @elastic #elasticsearc…","Sat May 23 07:38:25 IST 2015","search-tech-bot","<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>"
"601939084475551744","RT @tuespetre: 'Debugging' Maven tests by throwing exceptions is no fun. Wish I could get jdb to hit breakpoints. cc @elastic #elasticsearc…","Sat May 23 08:03:55 IST 2015","Ed Limonov","<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>"
"601941079395557377","RT @tuespetre: 'Debugging' Maven tests by throwing exceptions is no fun. Wish I could get jdb to hit breakpoints. cc @elastic #elasticsearc…","Sat May 23 08:11:51 IST 2015","Bernie Noel","<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>"
"601952516696309760","RT @tuespetre: 'Debugging' Maven tests by throwing exceptions is no fun. Wish I could get jdb to hit breakpoints. cc @elastic #elasticsearc…","Sat May 23 08:57:18 IST 2015","Java","<a href=""http://not.yet/"" rel=""nofollow"">Retweet Java V2</a>"
"601967764111110144","RT @elastic: Just announced: #elasticwatcher Beta (alerting for #elasticsearch) goes public. Try it today! http://t.co/tNmbKe3KC8 http://t.…","Sat May 23 09:57:53 IST 2015","Jorge Luis","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
"601971230929911809","RT @DrTaha_FDA: We were among the first to use and contribute to @elastic… now, more than 1,500 government websites use #Elasticsearch #Big…","Sat May 23 10:11:40 IST 2015","openFDA","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
"601978809068421120","We compared #elasticsearch vs #sphinx - see results: http://t.co/0g1ZhSKV6L","Sat May 23 10:41:46 IST 2015","TechWars","<a href=""http://www.techwars.io"" rel=""nofollow"">TechWars</a>"
"601979860915851265","RT @TechWars_io: We compared #elasticsearch vs #sphinx - see results: http://t.co/0g1ZhSKV6L","Sat May 23 10:45:57 IST 2015","search-tech-bot","<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>"
"601984593802174464","The Tweet storm by @DrTaha_FDA @openFDA is fantastic. Thank you for the great work with #BigDataMed #elasticsearch","Sat May 23 11:04:46 IST 2015","IoT (IdiotOfThings)","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"
"601985298373943298","RT @mitchwongho: The Tweet storm by @DrTaha_FDA @openFDA is fantastic. Thank you for the great work with #BigDataMed #elasticsearch","Sat May 23 11:07:34 IST 2015","search-tech-bot","<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>"
"601994856496500737","RT @tuespetre: 'Debugging' Maven tests by throwing exceptions is no fun. Wish I could get jdb to hit breakpoints. cc @elastic #elasticsearc…","Sat May 23 11:45:32 IST 2015","Kristian Erik Munk","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"
"602001857360351232","RT @davidemoro: @KottiCMS and #elasticsearch (experimental) support @elastic #python @pylons http://t.co/ntQopRS2Z1 http://t.co/T8gQI1ts4q","Sat May 23 12:13:22 IST 2015","Andreas Kaiser","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>"
"602040790936879104","RT @DrTaha_FDA: We were among the first to use and contribute to @elastic… now, more than 1,500 government websites use #Elasticsearch #Big…","Sat May 23 14:48:04 IST 2015","Dimitri Marx","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
"602047625035173889","🍒 🔝 Aha! DevOps Engineer gig at @suadelabs http://t.co/pfgG5WOWLZ #docker #elasticsearch","Sat May 23 15:15:13 IST 2015","Unicorn Hunt","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>"
"602047934180552704","RT @unicornhuntio: 🍒 🔝 Aha! DevOps Engineer gig at @suadelabs http://t.co/pfgG5WOWLZ #docker #elasticsearch","Sat May 23 15:16:27 IST 2015","search-tech-bot","<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>"
"602079700769472512","I hear rumours that #aws is releasing an #elasticsearch solution very soon - interesting. Anyone know any more about it? #help","Sat May 23 17:22:41 IST 2015","brabster","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
